Partida,Ganador,Dur,P_MCTS,P_Heuristico,P_Rand
322,Heuristico,4.863818900000297,15,63,40
321,MCTS,5.405197900000076,77,20,23
327,Rand,3.57282559999976,23,35,62
326,MCTS,3.7043453000001136,67,22,29
329,Rand,3.578685299999961,38,40,42
330,MCTS,3.9353925999998864,69,21,30
335,Rand,3.4267860999998447,46,27,47
337,MCTS,3.419170900000154,61,24,35
336,Heuristico,3.499040199999854,28,57,31
332,MCTS,4.1837500000001455,60,46,14
328,Heuristico,5.038267299999916,40,55,25
320,Heuristico,7.487665600000128,11,67,42
325,MCTS,5.7283753000001525,52,51,17
324,MCTS,5.913182600000255,69,42,9
339,Heuristico,3.832159900000079,34,51,35
340,MCTS,3.5457925999999134,51,15,43
331,MCTS,5.895049399999607,105,4,11
333,MCTS,5.933401400000093,81,29,0
338,MCTS,5.018410600000152,72,13,33
341,MCTS,4.666807200000221,98,22,0
334,MCTS,6.322375100000045,67,0,51
348,MCTS,3.386432799999966,75,28,17
349,Heuristico,3.186168799999905,35,63,12
346,MCTS,4.446221300000161,65,27,17
345,Heuristico,4.463131599999997,23,64,33
344,Rand,4.834457800000109,34,42,44
351,MCTS,3.5835853000003226,59,15,46
343,MCTS,5.392482400000063,55,20,35
347,MCTS,4.6771066999999675,44,39,37
352,MCTS,4.048036499999853,42,40,38
342,MCTS,6.174889800000074,47,35,28
350,Rand,4.374041699999907,21,36,61
358,MCTS,3.0682757999998103,67,25,25
357,Rand,3.4396654000001945,38,14,64
360,MCTS,3.1373641999998654,81,11,28
354,MCTS,4.451866500000051,56,51,13
365,MCTS,2.851896900000156,56,39,15
364,MCTS,3.0787657999999283,69,0,41
369,Rand,2.8065154000000803,25,44,48
371,MCTS,2.629827600000226,58,47,15
366,Rand,3.3580517000000327,45,18,57
374,MCTS,2.5741980000002513,49,46,22
375,MCTS,2.6794074999997974,58,26,36
376,MCTS,2.5521936999998616,43,32,34
367,Heuristico,3.7736371000000872,24,64,32
377,Heuristico,2.13159719999976,15,76,19
372,MCTS,3.331153600000107,69,23,28
356,MCTS,7.089428199999929,72,20,25
379,MCTS,2.5240257000000383,65,18,37
380,Rand,2.6314760999998725,14,45,50
381,Heuristico,2.4703644999999597,30,57,33
383,MCTS,2.496644700000161,76,20,24
382,Heuristico,2.7473660000000564,25,84,7
385,MCTS,2.3654797999997754,65,11,44
387,MCTS,2.4203090000000884,58,35,16
386,MCTS,2.5198497000001225,60,6,43
384,Heuristico,2.8563225999996575,24,68,28
389,Heuristico,2.374991300000147,36,65,19
388,MCTS,2.7372520999997505,68,41,11
353,MCTS,9.570589400000244,83,34,3
391,MCTS,2.6805779999999686,49,24,47
393,MCTS,2.3515484000004108,82,17,21
359,MCTS,9.697795199999746,52,41,27
361,MCTS,9.088880700000118,69,17,34
392,Rand,2.644228000000112,46,10,62
395,Heuristico,2.3422679999998763,37,41,32
355,MCTS,11.060045500000342,99,7,11
396,MCTS,2.589934899999662,106,7,7
401,Rand,2.1148190999997496,35,26,48
398,MCTS,2.7024693000003026,61,0,59
399,MCTS,3.156850100000156,82,24,4
394,Rand,3.7226559000000634,32,18,70
400,MCTS,3.229055700000117,100,0,9
403,Heuristico,2.0677851999998893,39,51,27
404,MCTS,2.248582499999884,69,17,34
397,MCTS,4.2089796999998725,59,25,36
407,MCTS,2.452505199999905,71,32,13
410,Heuristico,2.3647698999998283,31,56,33
412,MCTS,2.2044968000000154,46,28,46
363,MCTS,12.125889500000085,73,13,23
411,MCTS,2.9754244000000654,89,21,0
362,MCTS,12.556876599999669,75,38,7
414,Heuristico,2.2868894999996883,44,57,17
415,MCTS,2.218983499999922,72,24,24
370,Heuristico,11.637164499999926,26,64,30
408,MCTS,3.803937499999847,76,26,15
417,MCTS,2.1366586999997708,74,21,25
413,MCTS,2.7237844000001132,80,13,27
419,MCTS,2.0824499999998807,50,22,48
418,MCTS,2.2880953999997473,92,17,0
416,Heuristico,3.1104513000000225,38,58,14
420,Heuristico,2.126768500000253,28,86,4
368,MCTS,13.345988800000214,48,14,48
421,Heuristico,2.3177402999999686,26,61,33
428,MCTS,2.171346899999662,85,7,18
426,Heuristico,2.5276523999996243,26,66,18
429,MCTS,2.321721300000263,93,8,19
430,Rand,2.467942199999925,22,43,53
433,Rand,2.1921290999998746,37,33,50
432,MCTS,2.379355900000064,67,22,21
425,Rand,3.4992896999997356,49,17,54
434,Heuristico,2.327227199999925,18,52,50
423,MCTS,3.9860869999997703,56,39,21
431,MCTS,3.552960600000006,81,17,22
436,MCTS,2.8086072999999487,96,18,6
437,MCTS,2.142923900000369,43,28,39
440,MCTS,1.8885837000002539,43,35,42
438,MCTS,2.253292799999599,50,23,47
373,Rand,16.079074599999785,28,15,74
444,Heuristico,2.074070699999993,27,72,21
441,MCTS,2.4590987999999925,79,14,17
439,MCTS,3.1755600000001323,69,10,41
445,Rand,2.5069017999999232,41,7,62
443,MCTS,2.763922999999977,50,33,34
442,MCTS,3.320796900000005,57,30,33
447,Heuristico,2.221349999999802,27,57,32
448,MCTS,2.4021622000000207,49,31,29
449,MCTS,2.187839199999871,58,22,40
446,MCTS,3.254168899999968,60,28,32
453,Rand,2.887280300000384,19,36,65
454,MCTS,2.7190372000000025,76,20,22
456,Heuristico,2.748880200000258,34,66,16
455,MCTS,2.842173200000161,90,19,11
457,MCTS,2.613528000000315,55,43,22
