Partida,Ganador,Dur,P_MCTS,P_Heuristico,P_Rand
385,MCTS,7.724725999999919,65,36,17
404,MCTS,3.928547399999843,65,44,11
406,MCTS,3.747485599999891,45,39,36
403,MCTS,4.284154200000103,53,30,35
405,MCTS,4.060992199999873,75,30,4
413,Rand,3.1740876999997454,34,41,43
410,MCTS,3.940096199999971,99,0,21
392,Heuristico,7.965368000000126,42,47,21
414,MCTS,3.9581349000000046,60,45,11
409,MCTS,4.727298700000119,59,33,17
412,Heuristico,4.4941852000001745,30,76,14
417,Heuristico,3.952746500000103,53,67,0
402,MCTS,7.5276849000001675,82,27,11
415,MCTS,4.880657599999722,51,31,27
421,Rand,3.673753300000044,40,33,45
408,MCTS,5.922912799999722,46,41,33
416,MCTS,5.376362599999993,67,14,39
424,Rand,3.300002399999812,13,44,63
423,Heuristico,3.7340690999999424,45,48,27
418,Heuristico,5.017651999999998,21,79,20
420,Heuristico,4.988978800000041,41,42,34
426,Heuristico,3.5612264000001232,29,59,29
425,MCTS,3.7026938999997583,64,33,23
419,Heuristico,5.25424860000021,33,40,36
411,MCTS,6.676414399999885,76,18,26
427,MCTS,3.373103700000229,53,32,35
422,MCTS,5.236216199999944,90,9,21
407,MCTS,8.279549100000168,78,25,15
432,Rand,3.3697222000000693,25,47,48
433,Rand,3.3965315000000373,13,19,85
435,MCTS,3.2838314999999056,53,45,22
428,MCTS,4.851416099999824,85,28,7
430,MCTS,4.492936600000121,85,6,29
439,MCTS,3.3324173999999402,52,38,30
434,Heuristico,4.306457099999989,34,55,31
444,Heuristico,3.4080587000003106,24,55,39
440,Heuristico,3.7500128000001496,15,83,22
429,Heuristico,6.040161299999909,33,74,13
443,Rand,3.7294142000000647,19,49,50
447,Heuristico,3.2714121999997587,39,64,17
436,Rand,4.805268700000397,36,21,52
438,MCTS,4.7622433999999885,43,42,35
431,Heuristico,6.130340199999864,23,73,24
452,MCTS,2.958833400000003,87,30,0
450,MCTS,3.759312300000147,91,0,29
453,MCTS,3.110599799999818,73,19,26
441,MCTS,5.666918599999917,78,19,23
455,MCTS,2.9327235000000655,63,42,15
451,MCTS,3.8882370999999694,72,43,5
437,Rand,6.535525599999801,13,45,58
457,Rand,2.495769999999993,17,40,63
454,MCTS,3.8046528999998372,92,23,2
460,MCTS,2.57685390000006,54,48,18
461,Heuristico,2.6215194000001247,45,65,0
458,MCTS,3.0212321999997584,61,31,26
462,MCTS,3.193670900000143,50,42,17
465,MCTS,2.3620257999996284,73,36,11
467,Heuristico,2.5233226000000286,39,40,30
472,Heuristico,2.1509141999999883,54,57,6
469,Heuristico,2.383145599999807,32,61,23
470,Rand,2.3226378999997905,26,33,61
474,Heuristico,2.209809600000426,16,52,50
473,MCTS,2.4445559999999205,79,30,11
466,Rand,3.315465299999687,37,34,39
476,MCTS,2.6165186999996877,59,50,11
475,MCTS,2.8362322000002678,51,18,51
449,Rand,8.377769900000203,35,42,43
445,MCTS,9.355728200000158,61,37,22
448,MCTS,8.595915800000057,67,18,35
478,Heuristico,2.210313000000042,36,56,25
442,MCTS,9.909094000000096,82,31,7
479,MCTS,2.0589938999996775,86,8,15
481,MCTS,2.2998153000003185,48,35,33
480,MCTS,2.663389400000142,61,45,3
482,MCTS,2.670962099999997,64,26,27
485,MCTS,2.175420999999915,53,46,21
484,MCTS,2.6085825999998633,74,19,23
486,MCTS,2.3089915999998993,57,40,20
483,MCTS,3.174375600000076,47,46,27
491,MCTS,2.177956499999709,79,29,12
487,Rand,2.6960494999998446,28,32,57
446,MCTS,12.08953909999991,53,19,48
477,MCTS,5.841870499999914,105,0,15
496,MCTS,2.160624799999823,89,9,18
493,MCTS,3.3006875000000946,87,15,18
495,Heuristico,2.6261779000001297,23,53,33
494,Rand,3.0865226000000803,22,23,75
498,MCTS,2.3761853999999403,48,30,42
499,MCTS,2.390241099999912,78,31,7
497,Heuristico,3.025987399999849,28,55,26
459,Rand,10.374335200000132,42,21,57
456,MCTS,10.952344400000129,56,35,29
500,Heuristico,2.3898176999996394,35,61,21
463,MCTS,10.132269699999597,59,26,33
471,MCTS,8.694210999999996,61,37,11
464,Heuristico,10.637889099999938,42,78,0
468,MCTS,9.490759199999957,76,41,3
489,MCTS,5.500188999999864,45,33,32
490,MCTS,5.794307600000138,98,2,20
492,Heuristico,5.801921599999787,31,56,33
488,Rand,6.731921500000226,15,11,84
