c,iteraciones,seed,duration,P_MCTS,P_Rand,victory
1.0,100,258,1.157698300001357,87,33,1
1.0,100,257,1.307047700000112,115,5,1
0.5,1000,1140,3.0717894999979762,63,57,1
1.0,100,260,1.0670113999985915,95,25,1
1.0,100,259,1.2246340999990935,85,32,1
1.0,100,264,0.9365782000022591,50,68,0
1.0,100,261,1.1714807999996992,72,48,1
1.0,100,263,1.0017881999992824,63,51,1
0.5,1000,1136,4.07612810000137,104,14,1
1.0,100,262,1.2637467000022298,86,31,1
1.0,100,268,0.9360062000014295,61,59,1
1.0,100,267,0.9733145000027434,117,3,1
0.5,1000,1137,4.159717000002274,96,22,1
1.0,100,265,1.205844399999478,110,3,1
1.0,100,266,1.1479486000025645,83,37,1
1.0,100,271,0.949529800000164,44,54,0
0.5,1000,1130,5.0409980000004,97,23,1
1.0,100,272,0.9228422999985924,73,33,1
1.0,100,270,1.291779700000916,64,45,1
1.0,100,269,1.319067399999767,110,8,1
1.0,100,274,0.9212344000006851,94,13,1
0.5,1000,1138,4.315803500001493,90,9,1
1.0,100,275,0.9176344000006793,58,52,1
1.0,100,279,0.8621532999968622,77,43,1
