matchup,seed,winner,points_DNN,points_Aleatorio,turns
DNN_vs_Aleatorio,482,Aleatorio,49,67,38
DNN_vs_Aleatorio,479,Aleatorio,52,66,38
DNN_vs_Aleatorio,483,Aleatorio,37,83,38
DNN_vs_Aleatorio,481,DNN,77,32,39
DNN_vs_Aleatorio,484,DNN,73,37,39
DNN_vs_Aleatorio,488,DNN,76,44,39
DNN_vs_Aleatorio,486,Aleatorio,19,80,38
DNN_vs_Aleatorio,485,Aleatorio,35,73,39
DNN_vs_Aleatorio,487,DNN,77,43,39
DNN_vs_Aleatorio,489,Aleatorio,47,73,38
DNN_vs_Aleatorio,490,DNN,65,55,39
DNN_vs_Aleatorio,491,Aleatorio,43,74,39
DNN_vs_Aleatorio,492,DNN,65,34,39
DNN_vs_Aleatorio,495,DNN,65,55,38
DNN_vs_Aleatorio,497,Aleatorio,40,69,39
DNN_vs_Aleatorio,494,DNN,99,21,39
DNN_vs_Aleatorio,496,DNN,75,45,39
DNN_vs_Aleatorio,493,DNN,83,24,39
DNN_vs_Aleatorio,498,Aleatorio,37,79,39
DNN_vs_Aleatorio,499,Aleatorio,57,61,38
