matchup,seed,winner,points_DNN,points_MCTS,turns
DNN_vs_MCTS,339,MCTS,56,64,38
DNN_vs_MCTS,338,MCTS,20,96,39
DNN_vs_MCTS,341,MCTS,57,60,39
DNN_vs_MCTS,337,MCTS,32,88,39
DNN_vs_MCTS,342,MCTS,40,80,39
DNN_vs_MCTS,344,MCTS,21,99,39
DNN_vs_MCTS,346,MCTS,55,65,39
DNN_vs_MCTS,343,MCTS,36,82,39
DNN_vs_MCTS,349,MCTS,48,72,38
DNN_vs_MCTS,350,MCTS,2,105,39
DNN_vs_MCTS,345,MCTS,41,68,38
DNN_vs_MCTS,347,MCTS,39,70,39
DNN_vs_MCTS,348,MCTS,33,74,39
DNN_vs_MCTS,353,DNN,65,55,39
DNN_vs_MCTS,351,MCTS,5,115,38
DNN_vs_MCTS,352,MCTS,18,99,39
DNN_vs_MCTS,355,MCTS,36,77,39
DNN_vs_MCTS,354,MCTS,14,95,39
DNN_vs_MCTS,359,MCTS,27,81,38
DNN_vs_MCTS,357,MCTS,40,67,39
DNN_vs_MCTS,360,DNN,81,26,39
DNN_vs_MCTS,358,MCTS,38,78,38
DNN_vs_MCTS,356,MCTS,0,118,39
DNN_vs_MCTS,361,MCTS,19,101,39
DNN_vs_MCTS,363,MCTS,22,77,38
DNN_vs_MCTS,362,MCTS,33,87,39
DNN_vs_MCTS,364,MCTS,41,64,39
DNN_vs_MCTS,365,MCTS,5,112,39
DNN_vs_MCTS,367,MCTS,10,110,39
DNN_vs_MCTS,366,MCTS,31,89,39
DNN_vs_MCTS,371,MCTS,48,50,38
DNN_vs_MCTS,368,MCTS,57,63,39
DNN_vs_MCTS,372,MCTS,6,114,38
DNN_vs_MCTS,370,MCTS,36,77,39
DNN_vs_MCTS,369,MCTS,12,108,39
DNN_vs_MCTS,373,MCTS,19,98,39
DNN_vs_MCTS,374,MCTS,45,70,39
DNN_vs_MCTS,375,MCTS,34,75,39
DNN_vs_MCTS,376,MCTS,56,61,39
DNN_vs_MCTS,377,MCTS,47,69,39
DNN_vs_MCTS,379,MCTS,13,105,39
DNN_vs_MCTS,381,MCTS,26,80,39
DNN_vs_MCTS,382,MCTS,21,97,39
DNN_vs_MCTS,378,MCTS,27,83,39
DNN_vs_MCTS,384,DNN,71,46,38
DNN_vs_MCTS,386,MCTS,46,72,39
DNN_vs_MCTS,380,MCTS,30,90,38
DNN_vs_MCTS,385,MCTS,31,87,38
DNN_vs_MCTS,383,MCTS,56,64,38
DNN_vs_MCTS,388,MCTS,35,85,39
DNN_vs_MCTS,387,MCTS,14,106,39
DNN_vs_MCTS,389,MCTS,46,74,39
DNN_vs_MCTS,391,MCTS,27,93,38
DNN_vs_MCTS,393,MCTS,50,59,39
DNN_vs_MCTS,392,MCTS,34,86,39
DNN_vs_MCTS,390,MCTS,29,81,38
DNN_vs_MCTS,394,MCTS,52,64,39
DNN_vs_MCTS,395,MCTS,24,96,39
DNN_vs_MCTS,397,MCTS,22,98,39
DNN_vs_MCTS,398,DNN,62,54,38
DNN_vs_MCTS,396,DNN,61,59,39
DNN_vs_MCTS,400,DNN,54,52,38
DNN_vs_MCTS,399,MCTS,41,77,39
DNN_vs_MCTS,401,MCTS,36,84,39
DNN_vs_MCTS,403,MCTS,37,81,38
DNN_vs_MCTS,405,MCTS,44,76,38
DNN_vs_MCTS,402,MCTS,38,71,39
DNN_vs_MCTS,406,MCTS,37,83,39
DNN_vs_MCTS,404,MCTS,38,79,38
DNN_vs_MCTS,407,MCTS,19,101,39
DNN_vs_MCTS,409,MCTS,35,82,38
DNN_vs_MCTS,408,MCTS,24,96,39
DNN_vs_MCTS,411,MCTS,34,82,39
DNN_vs_MCTS,412,MCTS,27,83,39
DNN_vs_MCTS,410,MCTS,29,80,39
DNN_vs_MCTS,414,MCTS,47,73,39
DNN_vs_MCTS,416,MCTS,37,81,39
DNN_vs_MCTS,413,MCTS,41,79,38
DNN_vs_MCTS,418,MCTS,50,70,39
DNN_vs_MCTS,417,MCTS,20,96,39
