matchup,seed,winner,points_DNN,points_Heuristico,turns
DNN_vs_Heuristico,387,Heuristico,55,61,38
DNN_vs_Heuristico,390,Heuristico,59,61,38
DNN_vs_Heuristico,386,Heuristico,39,81,39
DNN_vs_Heuristico,388,Heuristico,52,55,39
DNN_vs_Heuristico,391,Heuristico,52,65,39
DNN_vs_Heuristico,389,DNN,71,38,39
DNN_vs_Heuristico,392,Heuristico,26,94,38
DNN_vs_Heuristico,393,Heuristico,41,79,39
DNN_vs_Heuristico,395,Heuristico,24,93,39
DNN_vs_Heuristico,394,DNN,61,45,39
DNN_vs_Heuristico,396,Heuristico,46,70,38
DNN_vs_Heuristico,397,DNN,65,53,39
DNN_vs_Heuristico,398,Heuristico,48,69,39
DNN_vs_Heuristico,399,Heuristico,30,90,39
DNN_vs_Heuristico,401,Heuristico,18,100,38
DNN_vs_Heuristico,400,Heuristico,36,80,38
DNN_vs_Heuristico,404,Heuristico,43,75,39
DNN_vs_Heuristico,402,Heuristico,38,82,39
DNN_vs_Heuristico,403,Heuristico,45,75,39
DNN_vs_Heuristico,405,DNN,58,52,39
DNN_vs_Heuristico,408,Heuristico,35,81,39
DNN_vs_Heuristico,406,Heuristico,46,62,39
DNN_vs_Heuristico,407,Heuristico,27,91,39
DNN_vs_Heuristico,409,Heuristico,51,69,38
DNN_vs_Heuristico,410,Heuristico,11,109,38
DNN_vs_Heuristico,413,Heuristico,34,73,38
DNN_vs_Heuristico,411,Heuristico,6,112,39
DNN_vs_Heuristico,415,DNN,68,50,39
DNN_vs_Heuristico,412,DNN,61,49,39
DNN_vs_Heuristico,414,DNN,58,52,38
DNN_vs_Heuristico,416,DNN,62,58,38
DNN_vs_Heuristico,417,Heuristico,51,58,38
DNN_vs_Heuristico,418,DNN,99,21,39
DNN_vs_Heuristico,419,Heuristico,31,89,39
DNN_vs_Heuristico,422,Heuristico,31,89,38
DNN_vs_Heuristico,421,DNN,69,48,39
DNN_vs_Heuristico,420,DNN,66,41,39
DNN_vs_Heuristico,423,Heuristico,22,88,38
DNN_vs_Heuristico,424,Heuristico,59,61,39
DNN_vs_Heuristico,426,Heuristico,37,80,38
DNN_vs_Heuristico,425,DNN,60,49,39
DNN_vs_Heuristico,427,DNN,64,56,39
DNN_vs_Heuristico,429,DNN,78,42,38
DNN_vs_Heuristico,428,DNN,80,40,39
DNN_vs_Heuristico,432,Heuristico,18,98,38
DNN_vs_Heuristico,430,Heuristico,22,92,39
DNN_vs_Heuristico,431,DNN,61,59,39
DNN_vs_Heuristico,434,Heuristico,18,99,38
DNN_vs_Heuristico,437,Heuristico,49,69,39
DNN_vs_Heuristico,436,Heuristico,21,99,39
DNN_vs_Heuristico,435,Heuristico,33,84,38
DNN_vs_Heuristico,433,Heuristico,54,66,39
DNN_vs_Heuristico,438,Heuristico,52,68,38
DNN_vs_Heuristico,439,Heuristico,34,76,38
DNN_vs_Heuristico,440,Heuristico,43,75,38
DNN_vs_Heuristico,441,DNN,83,37,39
DNN_vs_Heuristico,443,Heuristico,46,74,39
DNN_vs_Heuristico,442,Heuristico,21,99,38
DNN_vs_Heuristico,444,Heuristico,41,76,39
DNN_vs_Heuristico,448,DNN,64,54,38
DNN_vs_Heuristico,447,Heuristico,33,83,39
DNN_vs_Heuristico,446,Heuristico,50,70,38
DNN_vs_Heuristico,445,Heuristico,33,77,39
DNN_vs_Heuristico,450,Heuristico,51,69,39
DNN_vs_Heuristico,449,DNN,59,40,39
DNN_vs_Heuristico,451,DNN,87,30,39
DNN_vs_Heuristico,452,Heuristico,39,81,38
DNN_vs_Heuristico,455,Heuristico,51,69,39
DNN_vs_Heuristico,453,Heuristico,26,94,39
DNN_vs_Heuristico,454,Heuristico,54,66,39
DNN_vs_Heuristico,457,Heuristico,17,103,38
DNN_vs_Heuristico,456,Heuristico,58,60,39
DNN_vs_Heuristico,458,Heuristico,47,63,39
DNN_vs_Heuristico,459,Heuristico,34,86,39
DNN_vs_Heuristico,460,Heuristico,45,65,38
DNN_vs_Heuristico,461,DNN,68,42,39
DNN_vs_Heuristico,462,Heuristico,33,87,39
DNN_vs_Heuristico,463,DNN,63,57,38
DNN_vs_Heuristico,465,Heuristico,39,81,38
DNN_vs_Heuristico,464,DNN,58,58,39
DNN_vs_Heuristico,466,DNN,64,54,39
DNN_vs_Heuristico,469,DNN,93,27,38
DNN_vs_Heuristico,467,Heuristico,54,63,39
DNN_vs_Heuristico,472,DNN,80,37,38
DNN_vs_Heuristico,468,Heuristico,30,86,39
DNN_vs_Heuristico,473,Heuristico,37,80,39
DNN_vs_Heuristico,471,Heuristico,59,59,39
DNN_vs_Heuristico,470,DNN,69,41,39
DNN_vs_Heuristico,474,Heuristico,47,73,39
DNN_vs_Heuristico,475,Heuristico,24,96,39
DNN_vs_Heuristico,478,Heuristico,48,72,39
DNN_vs_Heuristico,480,DNN,73,47,38
DNN_vs_Heuristico,476,Heuristico,34,83,39
DNN_vs_Heuristico,477,Heuristico,14,106,38
DNN_vs_Heuristico,481,Heuristico,54,64,39
DNN_vs_Heuristico,479,Heuristico,46,74,39
DNN_vs_Heuristico,482,Heuristico,42,74,38
DNN_vs_Heuristico,483,Heuristico,37,83,38
DNN_vs_Heuristico,484,Heuristico,52,68,39
DNN_vs_Heuristico,486,DNN,61,46,39
DNN_vs_Heuristico,485,DNN,74,46,39
DNN_vs_Heuristico,488,Heuristico,34,86,38
DNN_vs_Heuristico,487,Heuristico,53,67,39
DNN_vs_Heuristico,489,DNN,77,39,39
DNN_vs_Heuristico,490,Heuristico,34,76,39
DNN_vs_Heuristico,493,Heuristico,30,79,39
DNN_vs_Heuristico,492,DNN,76,42,39
DNN_vs_Heuristico,495,Heuristico,41,68,39
DNN_vs_Heuristico,491,Heuristico,47,70,39
DNN_vs_Heuristico,494,Heuristico,31,87,39
DNN_vs_Heuristico,496,Heuristico,17,99,39
DNN_vs_Heuristico,498,Heuristico,37,72,38
DNN_vs_Heuristico,497,Heuristico,12,106,39
DNN_vs_Heuristico,499,Heuristico,34,86,39
